,content,id,lat,location,lon,time,user,user_id
930,VIDEO: North Shore towns battling high tides three days after nor'easter https://t.co/PAaAJICPjf,970828953832382464,,"Boston, MA",,2018-03-06 01:10:34,boston25,19665244
934,@ItzTatiana 🐼🐼🐼🐼🐼,970828951470911488,,"Boston, MA",,2018-03-06 01:10:33,nate_wanders,1132603826
935,It's the Lex Luthor Show!!! https://t.co/Xu1JgKiDdm,970828950011367424,,"Boston, MA",,2018-03-06 01:10:33,LandonOLeary,113921816
936,Mom* https://t.co/YzjbhlbauY,970828948778123264,,"Boston, MA",,2018-03-06 01:10:33,jeskamedeiros,432168022
937,"RT @OmggRhi: I’m not ready to be in a relationship just yet, but I do have my eyes on one person",970828948534898688,,"Boston, MA",,2018-03-06 01:10:33,OmggRhi,2216850999
939,@DiscoveryID Even the photos of Bob are creepy. #VanityFairConfidential,970828946379083776,,"Boston, MA",,2018-03-06 01:10:32,Jackron312,24033964
940,So excited!! 🌹🌹 https://t.co/tgEglFm7cF,970828945850556416,,"Boston, MA",,2018-03-06 01:10:32,AlyshaNBCBoston,44621650
942,https://t.co/VGgwuRuAEf,970828944818802688,,"Boston, MA",,2018-03-06 01:10:32,DigitView,332885957
943,I love this episode already! @LoTWritersRoom @TheCW_Legends,970828944722268160,,"Boston, MA",,2018-03-06 01:10:32,tknight84,40344619
944,I second this emotion. Shame on you @EricLiptonNYT https://t.co/6RiTcGsgIt,970828943652720640,,"Boston, MA",,2018-03-06 01:10:31,LacyNow,934530343
947,"Anaís really needs to grow up, she acts like she’s 16 #LHHNYReunion",970828938695110656,,"Boston, MA",,2018-03-06 01:10:30,Tall_Beautiful3,174477300
948,"Time to try out Into the Breach, courtesy of a donation by @AdamShaftoe! We don't really know much about it, but th… https://t.co/zdPNdwrXa3",970828938464423936,,"Boston, MA",,2018-03-06 01:10:30,TGIFarcade,2287573752
949,@EmilyLFoley Oh boy! All you missed was a nervous Lauren,970828937617080320,,"Boston, MA",,2018-03-06 01:10:30,AmyLynnStyle,48106476
954,"🤗🤗 one of my favorite things to do!! Simple things, peoples attitudes change and their energy becomes brighter. Giv… https://t.co/nctHl7Qr35",970828934622470144,,"Boston, MA",,2018-03-06 01:10:29,HappyHipBB,204642851
958,Excited for @wheaton @WheatonTF athletes heading to the @NCAADIII NCAA Division III Men's and Women's Indoor Track… https://t.co/pBmGRI72zU,970828933573873664,,"Boston, MA",,2018-03-06 01:10:29,AMcKinneyPT,1009773378
96,"Freshman Morgan Bovardi not backing down for @MascoGB, she's got 5 triples. Lowell still up, though, 49-42 with 4:57 left in regulation",970829714607755264,,"Boston, MA",,2018-03-06 01:13:35,GregLevinsky,452588578
960,Get your #KidLitMarchesForKids Downloadable Posters from @JamiesonV for the nationwide marches on 3/24 here:… https://t.co/yK0vQrEtm3,970828932655321088,,"Boston, MA",,2018-03-06 01:10:29,joshfunkbooks,1112644122
963,@IAmJamesStewart Cousin of Cris Angel?,970828930969145344,,"Boston, MA",,2018-03-06 01:10:28,geffe71,19802381
